,AAPL,ADBE,AMZN,AVGO,BAC,BRK-A,COST,CSCO,CVX,DIS,GOOG,HD,JNJ,JPM,KO,LLY,MA,MSFT,NVDA,PEP,PFE,PG,UNH,V,WFC,WMT,XOM
MAE,0.012049777742569904,0.012613708824284095,0.013131754312258563,0.015271351136904258,0.01440862443243843,0.007858820534659462,0.008254913416875117,0.01041089359259753,0.010861013334872842,0.01016514002051383,0.010632400320714615,0.009466059937981962,0.006926060243482532,0.011893574334667614,0.007326819196987919,0.009704431312015888,0.011653826346482748,0.01058383927059562,0.018039603861898047,0.0069444206674093446,0.00894186938705225,0.006884670357074825,0.01067508797410552,0.01073911443725455,0.012239898532987053,0.007705478343448916,0.010496376069017424
MSE,0.000301009988418952,0.00034952606335627906,0.00035955780728711437,0.00046980168554287485,0.00042667151036933425,0.00014047348623337044,0.00013692085524893757,0.0002523902017524693,0.00028919576063685055,0.00023496158044723566,0.00024974164506424024,0.00019271268953382215,0.00010327670774120235,0.0003306539515705986,0.00011781041602374272,0.00021606262404455455,0.0003146051922521091,0.00023960536984592257,0.0007011224174096244,0.00011303998154691201,0.00017097273766167906,0.0001072268773445524,0.00024740300249013385,0.00025114974486088217,0.0003492054411021393,0.00013312024600559098,0.00024797596939788385
RMSE,0.017349639431958004,0.01869561615342696,0.018962009579343492,0.021674909124212605,0.020656028426813664,0.011852151122617803,0.011701318526086604,0.015886793312448844,0.01700575669109877,0.015328456557893742,0.015803216288598983,0.013882099608266113,0.010162514833504666,0.018183892640757607,0.010854050673538554,0.014699068815559527,0.017737113413746588,0.015479191511378188,0.026478716309700976,0.010632026220194907,0.01307565438751266,0.010355041156101332,0.0157290496372201,0.015847704719008433,0.01868703938836057,0.011537774742366527,0.01574725275716002
